1,30577
2,33331
3,28576
4,29732
5,26813
6,17401
7,20072
8,17598
9,19102
10,22049
11,20792
12,25061
13,22856
14,21006
15,30079
16,18043
17,31165
18,26758
19,21469
20,18810
21,20838
22,22757
23,16654
24,17203
25,16914
26,16984
27,17949
28,17195
29,17272
30,17255
31,18486
32,17224
33,17182
34,17272
35,17838
36,17205
37,18088
38,17472
39,17507
40,19876
41,18009
42,23840
43,21340
44,18094
45,19922
46,18233
47,20822
48,20214
49,21418
50,20232
51,21230
52,20428
53,19498
54,20072
55,22921
56,20952
57,19335
58,20974
59,21239
60,20912
61,24104
62,21233
63,21472
64,20173
65,22051
66,22637
67,25229
68,22296
69,24106
70,21645
71,21579
72,23436
73,22930
74,28288
75,36180
76,37432
77,34319
78,31620
79,24436
80,24835
81,22742
82,24043
83,29472
84,29543
85,31207
86,70283
87,41663
88,31052
89,29901
90,27407
91,29344
92,28853
93,28403
94,27783
95,27634
96,32559
97,54979
98,71572
99,58764
100,44641
101,48630
102,30065
103,30608
104,31167
105,27681
106,27467
107,27382
108,29562
109,27787
110,27932
111,29319
112,28254
113,32840
114,31997
115,33253
116,32549
117,33171
118,33577
119,30650
120,32032
121,32888
122,31415
123,35689
124,34089
125,33932
126,32816
127,31081
128,31208
129,32822
130,35624
131,32043
132,34343
133,33100
134,32327
135,34669
136,44333
137,34623
138,34912
139,37602
140,35955
141,50517
142,34569
143,35801
144,42347
145,34923
146,37436
147,35393
148,36205
149,35879
150,39727
151,37978
152,40696
153,40329
154,39142
155,35375
156,37408
157,37746
158,36506
159,35747
160,37738
161,37458
162,38262
163,39851
164,39453
165,37977
166,37340
167,38028
168,38276
169,38037
170,45019
171,46564
172,47102
173,52039
174,65758
175,75204
176,74952
177,47502
178,46053
179,42454
180,44021
181,42503
182,42359
183,40938
184,44140
185,45640
186,41801
187,41581
188,40203
189,41381
190,40243
191,45479
192,43986
193,44200
194,45765
195,43811
196,44966
197,48249
198,54354
199,45924
200,43139
201,47471
202,46077
203,46049
204,43381
205,43136
206,43952
207,43159
208,50628
209,48548
210,46001
211,46522
212,46471
213,46961
214,47796
215,48708
216,57032
217,53613
218,48479
219,51449
220,47753
221,45849
222,48813
223,47923
224,46649
225,50582
226,47475
227,46891
228,48894
229,116568
230,57330
231,50742
232,49575
233,53094
234,51552
235,51311
236,51715
237,56792
238,50925
239,49707
240,50328
241,60310
242,49932
243,54741
244,56847
245,63976
246,57299
247,64339
248,63238
249,55644
250,52929
251,55632
252,60687
253,55085
254,53078
255,57998
256,55756
257,52837
258,54734
259,56761
260,54692
261,57243
262,54328
263,54725
264,56329
265,58526
266,56247
267,56105
268,56428
269,60876
270,58594
271,55920
272,56041
273,61529
274,62841
275,56624
276,59283
277,60062
278,61426
279,61271
280,63886
281,62216
282,61297
283,60634
284,59660
285,63419
286,59008
287,63760
288,60556
289,60709
290,66488
291,61260
292,61008
293,60117
294,61766
295,65506
296,62905
297,60644
298,67154
299,66249
300,64865
